Epoch,Training Error,Testing Error
227,1102.279785,1128.169922
228,1101.752808,1128.054077
229,1101.228638,1127.941162
230,1100.707397,1127.830688
231,1100.188843,1127.7229
232,1099.673218,1127.617676
233,1099.160278,1127.514771
234,1098.650146,1127.414307
235,1098.143066,1127.31604
236,1097.638672,1127.220093
237,1097.137085,1127.126343
238,1096.638428,1127.034424
239,1096.142212,1126.944824
240,1095.649048,1126.856934
241,1095.158325,1126.770996
242,1094.670044,1126.686768
243,1094.184814,1126.604248
244,1093.701782,1126.523682
245,1093.221313,1126.44458
246,1092.743042,1126.367065
247,1092.267334,1126.291016
248,1091.793823,1126.216553
249,1091.32251,1126.143677
250,1090.853394,1126.071777
251,1090.385986,1126.001587
252,1089.920776,1125.932739
253,1089.457642,1125.86499
254,1088.996094,1125.798828
255,1088.536377,1125.733887
256,1088.078247,1125.670166
257,1087.621826,1125.607666
258,1087.166992,1125.546509
259,1086.713623,1125.486572
260,1086.261963,1125.427979
261,1085.811523,1125.370483
262,1085.362915,1125.314087
263,1084.915649,1125.259155
264,1084.469971,1125.2052
265,1084.026245,1125.152466
266,1083.583862,1125.100586
267,1083.143555,1125.049927
268,1082.705078,1125
269,1082.268433,1124.950928
270,1081.833984,1124.902588
271,1081.401367,1124.855103
272,1080.971069,1124.807861
273,1080.542847,1124.761353
274,1080.116821,1124.71521
275,1079.692993,1124.669434
276,1079.270996,1124.623901
277,1078.85144,1124.578735
278,1078.433716,1124.533691
279,1078.018188,1124.489136
280,1077.604736,1124.444458
281,1077.192993,1124.400024
282,1076.783325,1124.355713
283,1076.375488,1124.311646
284,1075.969482,1124.267578
285,1075.565186,1124.223877
286,1075.162476,1124.180054
287,1074.761475,1124.136597
288,1074.361816,1124.09314
289,1073.963867,1124.049927
290,1073.567261,1124.006714
291,1073.171997,1123.963745
292,1072.778076,1123.920776
293,1072.385498,1123.878174
294,1071.994141,1123.835571
295,1071.60376,1123.793213
296,1071.214478,1123.750854
297,1070.826416,1123.708862
298,1070.439331,1123.666748
299,1070.053223,1123.625
300,1069.668091,1123.583374
301,1069.283936,1123.54187
302,1068.900879,1123.50061
303,1068.518555,1123.459473
304,1068.137207,1123.418457
305,1067.756958,1123.377686
306,1067.377808,1123.336914
307,1066.999512,1123.296265
308,1066.622314,1123.255859
309,1066.246094,1123.215454
310,1065.870972,1123.175293
311,1065.496948,1123.135254
312,1065.123901,1123.095215
313,1064.751953,1123.05542
314,1064.381226,1123.015869
315,1064.01123,1122.976196
316,1063.642212,1122.93689
317,1063.274414,1122.897827
318,1062.907715,1122.858887
319,1062.54187,1122.820313
320,1062.177002,1122.781738
321,1061.81311,1122.743652
322,1061.449951,1122.705688
323,1061.088013,1122.667969
324,1060.726563,1122.630737
325,1060.366211,1122.593506
326,1060.006714,1122.556885
327,1059.648071,1122.520386
328,1059.290283,1122.484131
329,1058.933228,1122.448364
330,1058.576904,1122.412598
331,1058.221313,1122.376953
332,1057.866699,1122.341797
333,1057.512695,1122.306763
334,1057.159546,1122.271729
335,1056.807129,1122.236938
336,1056.455322,1122.202148
337,1056.104004,1122.16748
338,1055.75354,1122.13269
339,1055.403687,1122.098267
340,1055.054321,1122.063721
341,1054.705566,1122.029175
342,1054.357056,1121.994507
343,1054.009277,1121.960083
344,1053.661743,1121.925659
345,1053.314575,1121.890991
346,1052.967773,1121.856445
347,1052.621216,1121.822144
348,1052.275024,1121.787354
349,1051.928833,1121.753174
350,1051.582886,1121.718628
351,1051.237183,1121.684448
352,1050.891602,1121.650024
353,1050.545898,1121.616089
354,1050.200562,1121.581787
355,1049.855225,1121.548096
356,1049.51001,1121.51416
357,1049.164795,1121.480835
358,1048.819824,1121.447388
359,1048.475098,1121.414429
360,1048.130371,1121.38147
361,1047.785889,1121.349365
362,1047.441895,1121.317017
363,1047.0979,1121.285645
364,1046.754517,1121.253906
365,1046.411255,1121.223511
366,1046.068604,1121.192627
367,1045.726318,1121.163086
368,1045.384521,1121.133179
369,1045.043213,1121.104858
370,1044.702271,1121.075928
371,1044.362061,1121.048584
372,1044.022217,1121.020508
373,1043.682739,1120.994629
374,1043.343872,1120.967529
375,1043.005371,1120.942871
376,1042.667358,1120.916992
377,1042.329712,1120.893677
378,1041.992554,1120.868286
379,1041.65564,1120.846802
380,1041.319092,1120.822388
381,1040.983032,1120.80249
382,1040.647095,1120.778809
383,1040.311523,1120.76062
384,1039.976196,1120.737793
385,1039.641113,1120.721558
386,1039.306274,1120.698975
387,1038.97168,1120.685181
388,1038.637329,1120.66272
389,1038.303101,1120.651367
390,1037.969116,1120.628784
391,1037.635254,1120.620728
392,1037.301392,1120.597534
393,1036.967896,1120.593018
394,1036.634399,1120.568604
395,1036.301025,1120.568604
396,1035.967529,1120.541992
397,1035.634277,1120.548218
398,1035.300903,1120.518066
399,1034.967407,1120.531738
400,1034.633911,1120.496948
401,1034.300049,1120.520264
402,1033.966187,1120.478394
403,1033.631714,1120.514893
404,1033.296875,1120.462524
405,1032.96167,1120.516602
406,1032.62561,1120.449097
407,1032.289307,1120.526978
408,1031.952515,1120.437378
409,1031.614868,1120.547974
410,1031.276978,1120.425781
411,1030.938721,1120.581421
412,1030.600708,1120.411865
413,1030.262939,1120.630127
414,1029.925903,1120.391846
415,1029.590332,1120.69873
416,1029.25708,1120.361572
417,1028.927002,1120.795898
418,1028.601318,1120.316772
419,1028.281738,1120.937256
420,1027.97168,1120.255371
421,1027.672729,1121.151489
422,1027.393677,1120.182251
423,1027.136719,1121.491333
424,1026.921997,1120.119507
425,1026.750488,1122.05603
426,1026.673096,1120.130615
427,1026.677246,1123.033447
428,1026.895142,1120.376343
429,1027.253418,1124.783081
430,1028.101685,1121.228516
431,1029.132813,1127.967529
432,1031.283936,1123.463135
433,1033.434326,1133.683594
434,1038.078735,1128.452637
435,1041.593384,1143.307983
436,1050.385132,1137.904053
437,1054.230835,1157.381104
438,1068.446411,1152.235962
439,1068.403809,1172.923096
440,1087.106323,1167.402588
441,1076.97522,1182.854004
442,1096.525757,1175.388306
443,1077.02832,1184.104736
444,1094.156616,1173.957275
445,1072.504517,1180.392212
446,1086.303711,1168.114868
447,1066.988037,1175.387085
448,1077.915894,1161.833252
449,1061.88208,1170.6604
450,1070.650146,1156.448242
451,1057.481445,1166.608887
452,1064.658691,1152.087891
453,1053.696289,1163.184326
454,1059.670288,1148.539063
455,1050.360474,1160.230835
456,1055.390869,1145.568726
457,1047.336304,1157.608887
458,1051.603882,1143.005127
459,1044.534912,1155.223877
460,1048.173584,1140.739746
461,1041.907104,1153.022827
462,1045.022217,1138.708984
463,1039.430786,1150.980469
464,1042.109009,1136.878662
465,1037.098022,1149.088135
466,1039.412598,1135.229248
467,1034.907837,1147.344727
468,1036.921265,1133.749146
469,1032.860474,1145.751221
470,1034.626953,1132.428711
471,1030.955078,1144.309082
472,1032.520752,1131.259277
473,1029.189697,1143.017212
474,1030.59436,1130.231567
475,1027.559937,1141.873535
476,1028.83728,1129.335938
477,1026.060425,1140.873413
478,1027.238892,1128.562378
479,1024.68457,1140.011597
480,1025.788696,1127.901245
481,1023.424988,1139.281372
482,1024.47583,1127.343018
483,1022.27478,1138.676758
484,1023.2901,1126.878784
485,1021.226624,1138.190308
486,1022.222107,1126.50061
487,1020.273804,1137.81543
488,1021.263306,1126.201172
489,1019.410522,1137.545654
490,1020.40625,1125.973755
491,1018.630798,1137.374512
492,1019.643982,1125.812866
493,1017.929565,1137.296387
494,1018.970642,1125.713501
495,1017.302612,1137.30603
496,1018.380859,1125.671509
497,1016.745239,1137.398071
498,1017.869812,1125.682983
499,1016.253784,1137.567505
500,1017.433105,1125.744385
501,1015.824219,1137.80957
502,1017.06604,1125.852905
503,1015.452393,1138.118774
504,1016.76416,1126.005371
505,1015.134338,1138.489746
506,1016.522278,1126.198242
507,1014.864502,1138.916016
508,1016.334534,1126.427979
509,1014.637756,1139.390503
510,1016.194153,1126.690186
511,1014.447449,1139.905762
512,1016.093262,1126.980103
513,1014.285889,1140.452637
514,1016.022583,1127.291382
515,1014.144531,1141.020752
516,1015.971191,1127.617065
517,1014.013062,1141.598755
518,1015.927429,1127.949219
519,1013.881287,1142.174805
520,1015.877991,1128.279175
521,1013.73761,1142.736328
522,1015.809692,1128.597534
523,1013.57074,1143.270874
524,1015.70874,1128.895264
525,1013.369507,1143.765991
526,1015.562378,1129.163452
527,1013.124084,1144.21167
528,1015.359375,1129.394653
529,1012.826355,1144.598633
530,1015.090759,1129.582397
531,1012.469727,1144.920532
532,1014.75061,1129.723145
533,1012.051147,1145.174072
534,1014.335449,1129.814697
535,1011.569702,1145.358154
536,1013.846191,1129.857788
537,1011.027405,1145.475098
538,1013.286438,1129.855225
539,1010.428589,1145.529175
540,1012.662598,1129.811523
541,1009.779724,1145.527344
542,1011.983276,1129.732422
543,1009.08844,1145.477417
544,1011.258301,1129.624268
545,1008.363831,1145.38855
546,1010.498596,1129.494751
547,1007.614868,1145.270386
548,1009.714844,1129.350952
549,1006.850647,1145.132446
550,1008.91803,1129.199585
551,1006.079346,1144.983887
552,1008.11731,1129.046753
553,1005.308838,1144.833496
554,1007.321228,1128.89856
555,1004.545471,1144.688599
556,1006.53717,1128.759155
557,1003.794678,1144.555908
558,1005.770691,1128.63269
559,1003.061035,1144.44043
560,1005.026306,1128.522217
561,1002.347351,1144.346313
562,1004.307312,1128.429443
563,1001.656189,1144.276489
564,1003.615906,1128.356323
565,1000.988647,1144.232788
566,1002.953125,1128.303345
567,1000.345642,1144.216309
568,1002.318787,1128.27063
569,999.7266235,1144.226807
570,1001.71283,1128.25769
571,999.1307983,1144.263428
572,1001.133606,1128.263306
573,998.5568237,1144.324951
574,1000.578979,1128.287109
575,998.0029907,1144.409424
576,1000.04718,1128.326782
577,997.4671631,1144.514526
578,999.5350952,1128.380737
579,996.9468994,1144.637573
580,999.0397949,1128.446899
581,996.4393311,1144.774902
582,998.5580444,1128.523071
583,995.9418945,1144.924072
584,998.0863647,1128.607178
585,995.4515991,1145.081787
586,997.621582,1128.696899
587,994.9660645,1145.244629
588,997.1603394,1128.789795
589,994.4823608,1145.410034
590,996.699646,1128.884155
591,993.9979858,1145.574829
592,996.2363281,1128.977783
593,993.5106812,1145.73645
594,995.7683716,1129.069214
595,993.0188599,1145.893188
596,995.2932739,1129.157104
597,992.520874,1146.042969
598,994.8096924,1129.23999
599,992.0151978,1146.18457
600,994.3158569,1129.317383
601,991.5014038,1146.317017
602,993.8114014,1129.38855
603,990.9785767,1146.439819
604,993.2958984,1129.453491
605,990.4473267,1146.553223
606,992.7693481,1129.512085
607,989.9072876,1146.657227
608,992.2322998,1129.564819
609,989.359436,1146.752563
610,991.68573,1129.612305
611,988.8043213,1146.84021
612,991.1303711,1129.655151
613,988.243103,1146.921265
614,990.567749,1129.694336
615,987.6767578,1146.99707
616,989.9992676,1129.730957
617,987.1063232,1147.06897
618,989.4263306,1129.765869
619,986.5335083,1147.138306
620,988.850647,1129.800049
621,985.9591064,1147.206787
622,988.2736206,1129.834595
623,985.3848267,1147.275269
624,987.6965332,1129.870483
625,984.8114014,1147.345703
626,987.1209717,1129.908325
627,984.2399902,1147.418701
628,986.5481567,1129.948975
629,983.6715698,1147.495605
630,985.9788208,1129.993408
631,983.1069336,1147.577026
632,985.4140625,1130.041504
633,982.5465698,1147.66394
634,984.8546143,1130.093994
635,981.9912109,1147.756714
636,984.3007813,1130.151245
637,981.440918,1147.855591
638,983.7530518,1130.213379
639,980.8960571,1147.960938
640,983.2116089,1130.280151
641,980.3566895,1148.072876
642,982.6762085,1130.35144
643,979.8225098,1148.190918
644,982.1468506,1130.427368
645,979.2935181,1148.315063
646,981.6231079,1130.507446
647,978.7692261,1148.444702
648,981.1044922,1130.591553
649,978.2493896,1148.579468
650,980.5905762,1130.678711
651,977.7332764,1148.71875
652,980.0808105,1130.769043
653,977.2203979,1148.861816
654,979.5741577,1130.861572
655,976.710144,1149.008057
656,979.0698853,1130.956055
657,976.2017822,1149.156494
658,978.5674438,1131.051514
659,975.6947021,1149.306274
660,978.065918,1131.147583
661,975.1881714,1149.456787
662,977.5644531,1131.243652
663,974.6815186,1149.6073
664,977.0621948,1131.339111
665,974.1742554,1149.756592
666,976.5584717,1131.43335
667,973.6654663,1149.904175
668,976.0525513,1131.525879
669,973.1547852,1150.049438
670,975.5437622,1131.616211
671,972.6417236,1150.19165
672,975.0316772,1131.703735
673,972.1255493,1150.329956
674,974.5155029,1131.788208
675,971.605957,1150.463989
676,973.9949951,1131.869141
677,971.0827637,1150.593262
678,973.4697266,1131.946167
679,970.5554199,1150.717041
680,972.9393921,1132.018677
681,970.0241089,1150.835205
682,972.4035645,1132.086914
683,969.487915,1150.947266
684,971.8621216,1132.150269
685,968.9472046,1151.052612
686,971.3150024,1132.208862
687,968.4016113,1151.151489
688,970.7620239,1132.261841
689,967.8510742,1151.243164
690,970.203186,1132.309937
691,967.2958984,1151.327881
692,969.6384888,1132.352417
693,966.7355957,1151.405518
694,969.0682983,1132.389771
695,966.1708374,1151.476074
696,968.4926147,1132.421997
697,965.6018066,1151.539795
698,967.9119873,1132.449097
699,965.0289307,1151.597656
700,967.3274536,1132.472656
701,964.4528198,1151.64978
702,966.7394409,1132.492188
703,963.8744507,1151.697754
704,966.149353,1132.509399
705,963.2949219,1151.742798
706,965.55896,1132.525757
707,962.7158203,1151.786743
708,964.9697266,1132.542236
709,962.1387329,1151.831787
710,964.383728,1132.560913
711,961.5654297,1151.880127
712,963.8031616,1132.583862
713,960.9978638,1151.934204
714,963.2304688,1132.612183
715,960.4378052,1151.99646
716,962.6676025,1132.648071
717,959.8869629,1152.069214
718,962.1166992,1132.692627
719,959.3470459,1152.154419
720,961.5791016,1132.747192
721,958.8192139,1152.253906
722,961.0567627,1132.812378
723,958.3044434,1152.368408
724,960.5499878,1132.889282
725,957.8034668,1152.499146
726,960.0600586,1132.977783
727,957.3164063,1152.646606
728,959.5866089,1133.078003
729,956.8430786,1152.810303
730,959.1293945,1133.189453
731,956.3829956,1152.989258
732,958.687439,1133.311523
733,955.9351196,1153.182983
734,958.2597046,1133.443115
735,955.498291,1153.389282
736,957.8443604,1133.583618
737,955.0707397,1153.606812
738,957.4396362,1133.730957
739,954.6506958,1153.833252
740,957.0431519,1133.884155
741,954.2362671,1154.066162
742,956.6523438,1134.04126
743,953.8250732,1154.303101
744,956.2650146,1134.200806
745,953.4153442,1154.541626
746,955.878479,1134.360962
747,953.0045166,1154.779053
748,955.4901733,1134.520264
749,952.5904541,1155.013062
750,955.0975342,1134.677002
751,952.1713867,1155.241455
752,954.6987915,1134.829834
753,951.7457886,1155.462402
754,954.2915649,1134.977539
755,951.3119507,1155.674194
756,953.8746338,1135.119019
757,950.8687744,1155.875366
758,953.4467773,1135.253906
759,950.4153442,1156.065308
760,953.0070801,1135.381348
761,949.951416,1156.243164
762,952.5551147,1135.500977
763,949.4764404,1156.40918
764,952.0908813,1135.613159
765,948.9910278,1156.563354
766,951.6147461,1135.718018
767,948.4953003,1156.706299
768,951.1273804,1135.815918
769,947.9901733,1156.838745
770,950.6295166,1135.907471
771,947.4762573,1156.96167
772,950.1225586,1135.993408
773,946.954834,1157.07666
774,949.6074829,1136.074707
775,946.4267578,1157.18457
776,949.0858765,1136.151978
777,945.8933716,1157.286743
778,948.5585327,1136.226074
779,945.3554077,1157.384521
780,948.0272827,1136.297852
781,944.8139648,1157.478638
782,947.4927368,1136.367432
783,944.2696533,1157.570435
784,946.9558105,1136.436035
785,943.7230835,1157.6604
786,946.4171753,1136.503052
787,943.1744995,1157.748413
788,945.876709,1136.569214
789,942.6238403,1157.835205
790,945.3345947,1136.634033
791,942.0709839,1157.920288
792,944.7905273,1136.69751
793,941.5153198,1158.00293
794,944.2435303,1136.758423
795,940.9564209,1158.082642
796,943.6929932,1136.81665
797,940.3932495,1158.158325
798,943.1375732,1136.871216
799,939.824646,1158.229004
800,942.5756836,1136.920898
801,939.2496338,1158.293091
802,942.0061035,1136.964844
803,938.6669922,1158.349365
804,941.4273071,1137.001953
805,938.0756836,1158.396606
806,940.8375244,1137.031372
807,937.4748535,1158.433472
808,940.2355957,1137.05188
809,936.8638306,1158.459473
810,939.6206665,1137.062988
811,936.2419434,1158.473511
812,938.9915161,1137.064453
813,935.6094971,1158.475464
814,938.3485107,1137.05603
815,934.9669189,1158.465698
816,937.6917114,1137.038208
817,934.3151245,1158.445313
818,937.022583,1137.011719
819,933.6559448,1158.415894
820,936.3428345,1136.978271
821,932.9914551,1158.379517
822,935.6554565,1136.939575
823,932.3247681,1158.3396
824,934.9636841,1136.897827
825,931.6587524,1158.299561
826,934.2717896,1136.856201
827,930.9973145,1158.263672
828,933.5841064,1136.817505
829,930.3442383,1158.236816
830,932.9058838,1136.785034
831,929.7039185,1158.223022
832,932.2419434,1136.761597
833,929.079834,1158.227417
834,931.5971069,1136.750488
835,928.4760132,1158.254395
836,930.9758301,1136.754272
837,927.8954468,1158.308228
838,930.382019,1136.775269
839,927.3412476,1158.391968
840,929.8189697,1136.81543
841,926.8158569,1158.508911
842,929.2896729,1136.876221
843,926.3209229,1158.660645
844,928.7959595,1136.958862
845,925.8579712,1158.849121
846,928.3392334,1137.063965
847,925.4274292,1159.074829
848,927.9200439,1137.191772
849,925.029541,1159.337524
850,927.5383301,1137.342285
851,924.6635742,1159.636719
852,927.1932983,1137.514771
853,924.3289185,1159.970825
854,926.8838501,1137.708496
855,924.0238647,1160.337891
856,926.6080322,1137.922363
857,923.7467651,1160.735474
858,926.3632813,1138.154785
859,923.494751,1161.160522
860,926.1468506,1138.404297
861,923.2650146,1161.609009
862,925.954834,1138.668213
863,923.0542603,1162.077026
864,925.7832642,1138.94458
865,922.8587036,1162.560181
866,925.6275024,1139.22998
867,922.6741333,1163.053101
868,925.4829712,1139.522461
869,922.4960327,1163.551147
870,925.3440552,1139.817993
871,922.3201904,1164.04834
872,925.2056274,1140.11377
873,922.1417236,1164.540161
874,925.0625,1140.406006
875,921.9564209,1165.02124
876,924.9094238,1140.692139
877,921.7606812,1165.487061
878,924.7425537,1140.969238
879,921.5510864,1165.934448
880,924.5579224,1141.235107
881,921.3253174,1166.360474
882,924.3534546,1141.487915
883,921.0819702,1166.76355
884,924.1276245,1141.726807
885,920.8204956,1167.143066
886,923.8800049,1141.95166
887,920.5407715,1167.499023
888,923.6112061,1142.162476
889,920.2438354,1167.832642
890,923.3225098,1142.359741
891,919.9311523,1168.14563
892,923.0157471,1142.5448
893,919.6040649,1168.439819
894,922.6932373,1142.718872
895,919.2651367,1168.718018
896,922.3577271,1142.883911
897,918.9163818,1168.983032
898,922.0119019,1143.041138
899,918.5600586,1169.237549
900,921.6584473,1143.192505
901,918.1983643,1169.484131
902,921.3000488,1143.3396
903,917.8335571,1169.725586
904,920.939209,1143.483887
905,917.4672241,1169.963867
906,920.578064,1143.626587
907,917.1012573,1170.201172
908,920.2181396,1143.769287
909,916.7365723,1170.438843
910,919.861145,1143.912598
911,916.3744507,1170.678223
912,919.5079346,1144.057007
913,916.0154419,1170.92041
914,919.1591797,1144.203125
915,915.65979,1171.165405
916,918.8152466,1144.351563
917,915.3077393,1171.413574
918,918.4762573,1144.501831
919,914.9592285,1171.664917
920,918.1419678,1144.654297
921,914.6137085,1171.919189
922,917.8117065,1144.808472
923,914.270813,1172.175659
924,917.4849854,1144.963989
925,913.9298096,1172.433716
926,917.1611938,1145.120728
927,913.5901489,1172.692627
928,916.8393555,1145.278198
929,913.2510376,1172.952026
930,916.5187378,1145.435669
931,912.9118042,1173.210327
932,916.1983643,1145.592896
933,912.5715942,1173.467407
934,915.8774414,1145.749268
935,912.2299194,1173.722168
936,915.5554199,1145.904297
937,911.8861084,1173.974365
938,915.2316284,1146.057983
939,911.5396118,1174.223022
940,914.9053955,1146.209473
941,911.1898804,1174.468018
942,914.5762329,1146.358643
943,910.836731,1174.70874
944,914.2439575,1146.505615
945,910.4798584,1174.944946
946,913.9081421,1146.64978
947,910.1188965,1175.176392
948,913.5684814,1146.790894
949,909.7537842,1175.402954
950,913.2249146,1146.929077
951,909.3842773,1175.624512
952,912.8771973,1147.064087
953,909.010498,1175.840942
954,912.5253906,1147.196045
955,908.6322021,1176.052368
956,912.1693726,1147.324707
957,908.2496338,1176.258545
958,911.8088379,1147.449951
959,907.8623657,1176.459473
960,911.4437256,1147.571899
961,907.4705811,1176.655273
962,911.0738525,1147.690186
963,907.0739746,1176.845703
964,910.6992188,1147.80481
965,906.6727905,1177.031006
966,910.319397,1147.91626
967,906.2668457,1177.210938
968,909.9342651,1148.023682
969,905.8562622,1177.38562
970,909.5441895,1148.127563
971,905.44104,1177.555176
972,909.1485596,1148.227783
973,905.0214233,1177.719971
974,908.7480469,1148.324829
975,904.5974121,1177.880127
976,908.3424072,1148.418579
977,904.1697998,1178.036133
978,907.9321289,1148.509399
979,903.7384033,1178.18811
980,907.5175781,1148.597778
981,903.303894,1178.336914
982,907.0992432,1148.683716
983,902.8669434,1178.483276
984,906.6777954,1148.768188
985,902.4281616,1178.627563
986,906.2540283,1148.851685
987,901.9880371,1178.770752
988,905.8287354,1148.934448
989,901.5474243,1178.913818
990,905.402832,1149.017456
991,901.1068115,1179.057373
992,904.9768677,1149.101196
993,900.6671143,1179.202148
994,904.5516968,1149.185791
995,900.2285156,1179.348999
996,904.1283569,1149.272339
997,899.7922363,1179.498657
998,903.7073364,1149.360962
