Iteration,Score,Nodes Processed
0,1,1727433
1,1,1986941
2,1,1792708
3,1,1786395
4,1,1516713
5,1,1788385
6,1,1595516
7,1,1655926
8,1,1617765
9,1,1895063
10,1,1805300
11,1,1691228
12,1,2094281
13,1,1464244
14,1,1775638
15,1,1501755
16,1,1755373
17,1,1700350
18,1,1582084
19,1,1690995
20,1,1502201
21,1,1490677
22,1,1681270
23,1,1349780
24,1,2004165
25,1,1530190
26,1,1254198
27,1,1635355
28,1,1710776
29,1,1864888
30,1,1925887
31,1,1818820
32,1,2067445
33,1,1615062
34,1,1952126
35,1,2087083
36,1,1493671
37,1,1825324
38,1,1952505
39,1,1618271
40,1,1859325
41,1,1955022
42,1,1864764
43,1,1982305
44,1,1781484
45,1,1838039
46,1,2008836
47,1,1776508
48,1,1579756
49,1,1732254
50,1,1605540
51,1,1818615
52,1,1816055
53,1,1480744
54,1,1585710
55,1,1709633
56,1,1636386
57,1,1821527
58,1,1731079
59,1,1584181
60,1,1878270
61,1,1755328
62,1,1604190
63,1,1527726
64,1,1993015
65,1,2007966
66,1,1957912
67,1,1842191
68,1,1790730
69,1,1704965
70,1,2130983
71,1,1676540
72,1,1895448
73,1,1518669
74,1,1504938
75,1,1816633
76,1,1600880
77,1,1666858
78,1,1708869
79,1,1490708
80,1,1979084
81,1,1605954
82,1,1863412
83,1,1584469
84,1,1840109
85,1,1434991
86,1,1503728
87,1,1551494
88,1,1868767
89,1,1446613
90,1,1361336
91,1,1681181
92,1,1370837
93,1,1950860
94,1,1509391
95,1,1770425
96,1,1629042
97,1,1855639
98,1,1586850
99,1,1703428
