Iteration,Score,Nodes Processed
0,1,200737
1,1,207652
2,-1,194839
3,1,223800
4,1,259234
5,1,197237
6,1,207352
7,1,191982
8,-1,204129
9,-1,156882
10,1,220154
11,1,188035
12,1,197115
13,1,217289
14,1,212132
15,1,193857
16,1,235425
17,1,216493
18,1,211485
19,1,210268
20,1,204441
21,1,216707
22,1,218909
23,1,242167
24,1,220639
25,1,206714
26,1,204159
27,1,201036
28,0,193166
29,1,229408
30,1,237709
31,1,218214
32,1,211754
33,1,227712
34,1,212761
35,1,207511
36,1,221421
37,0,241486
38,1,192484
39,1,208977
40,1,211147
41,1,248303
42,1,188444
43,1,215969
44,1,199294
45,1,187182
46,1,194567
47,1,216066
48,0,258689
49,0,267149
50,1,258799
51,1,213128
52,1,209418
53,1,213973
54,1,214025
55,1,229633
56,0,223424
57,1,213967
58,1,180553
59,1,197621
60,-1,181187
61,1,227148
62,1,213449
63,0,216648
64,1,179169
65,1,197256
66,1,210721
67,1,233399
68,-1,153345
69,1,213794
70,1,202179
71,1,234990
72,1,227927
73,1,218592
74,1,193212
75,1,231178
76,1,213077
77,-1,166527
78,1,199433
79,1,214666
80,1,182462
81,1,271670
82,1,211802
83,1,204535
84,1,217753
85,1,217807
86,1,211842
87,1,234851
88,1,204877
89,1,192656
90,1,202248
91,1,214035
92,1,264995
93,1,209746
94,1,195960
95,1,206992
96,1,226111
97,1,226094
98,1,197124
99,1,208544
