Iteration,Score,Nodes Processed
0,1,2420235
1,1,2051639
2,1,2502183
3,1,2606002
4,1,2368687
5,1,2161898
6,1,2626421
7,1,1931024
8,1,2361683
9,1,1742514
10,1,2454626
11,1,2042861
12,1,2175382
13,1,2500543
14,1,2183284
15,1,2155379
16,1,2330147
17,1,2435354
18,1,2067683
19,1,2361660
20,1,2205233
21,1,2656053
22,0,1931303
23,1,2466031
24,1,2332486
25,1,2017853
26,1,2174987
27,1,2358255
28,1,2384533
29,1,2023219
30,1,2738253
31,1,2523369
32,1,1982287
33,1,1890259
34,1,2124615
35,1,2469620
36,1,2285733
37,1,2305457
38,1,2175428
39,1,2569802
40,1,2084664
41,1,2027834
42,1,2251849
43,1,2535825
44,1,2436825
45,1,2525732
46,1,1979295
47,1,2304581
48,1,2596405
49,1,2673593
50,1,2301698
51,0,2628978
52,1,2245607
53,1,2293618
54,1,1897242
55,1,2534934
56,1,2225592
57,1,2581758
58,1,2160932
59,1,2622033
60,1,2320482
61,1,2342995
62,1,2443541
63,1,1829777
64,1,2481158
65,0,2811918
66,0,2656762
67,1,2275839
68,1,2096044
69,1,2266275
70,1,1900603
71,1,2421076
72,1,2753596
73,1,2639151
74,1,2429766
75,1,2288912
76,1,2225548
77,0,1806061
78,0,2758856
79,1,2237855
80,1,2300981
81,1,2435198
82,1,2184203
83,1,2433600
84,1,2261363
85,1,1899963
86,1,2487280
87,0,2568204
88,1,2328868
89,1,2532168
90,1,2276323
91,1,2598151
92,1,2460283
93,1,2477155
94,1,2374945
95,1,2268355
96,1,1842855
97,1,2430695
98,1,1949056
99,1,2144585
